# Commit-hash map for the 2026-08-01 history rewrite (co-author trailers removed).
# Trees are byte-identical on both sides; only commit messages changed, so every
# SHA below moved. Use this to resolve a pre-rewrite commit recorded in a result CSV.
old_sha	new_sha
1eb35bf5d6cb9b893768c51f9c348e7ba593827d	26f38dfe32ce351231e5fcb1204ad69c83ef9bd3
f44c555ada653d675399693d46d6041970dc7223	c43d4bb51c8bf5ce6866bb94168cd5d59fe31bc9
464f26eace7ec708ca0d68110a3725f580d6cffb	af57ecd603641cad256dc1d8a643367747df081c
26d0f8017b288e4584dfed09b4b8587a1adb96f3	185772a4c75caf90a85efcf35bfea0d5bff16f60
30bd7e0b1267ed550da73d4f069ee22e2671b4f2	616efb1e146d5251c57d0072175e5fd695131636
e51bf47d31f5b8f412c555f1fcbd713ece0b6879	1903ea1ca5f36984f1f4294a2f02247b9ff8fcf7
d207ed625f2d8d93af86cffbe80b950d022c50ae	6d7f240860d16dc6bd4f872b502f873f0b3c709f
1e83a1667ac3572d591d2365d55e5d1c17c75760	fc41be80e6b8cfb51c8092e563f79440d3c9130a
531e85ce219dd6fbf5b7809abf20a766448e3f70	69af6f8c764dd4b80ea7889d9bcfb669d2de51ec
f3ab6c810ee9327ae0ed82c64f6b10831d843366	ec9c7a2d6c3ca84c7ceb503b00a76f3e77f90ac0
5bfcd5fd447eddfb5125721bebac2850689e8bad	294c47d191f5d88bc52a64273e74a8b5b753fa7f
88fe3f3da9327622d2101260ee4327725d7c08b4	ceef3aa11d7f4725191575dff42c3e13ca8afcf3
e20125ce66eb147301f12f031f30c2bd50e4bb5d	f3f5b35874d19e98a051a19db56c8d96c31ad47a
b9ededcd2b5bdda809f1bb6561052a11c50b5ee2	653a0160a43dedec7d5d5e6e09a7bdf70e025ff6
81aadcd7572dc2eb43bb30ca8f0cb76cad842c61	68d8fc900bf9f297f843fe4cdcb6095f3b3d849c
30927b7b5d3bb9c394df57f9454162ec0b8818e4	3a88bc2e098c66765dc6363bb09e3d50f49cc47f
3070733cb6d0e205c3536bbb3f7c10cdd306b48d	02b8aafd2b3c558f1e32d98f819e8efa8cdbef5d
11ce4f46176ed0934e39f6f76fd4e6c50068dcf5	eafebc86f016e51c8e4a21207d3fda5a59b27d4a
b29f17fa9e4a0fe5c82bd8b5586c1b4ab34bf636	d485540a97410cf81a0341c00d4bbec5f481f5ce
966642a2961472c5f660f752648dc2693518e858	c715ba11ae7c8a23f122afd23ad69237878c9336
b3d950ea16f15f6823351babda3e32847c24fb06	fc8b9c6d2e512874c4281e16e2857c4fe7e62fcd
